DateTime,Close,SMA_30,Signal,Position
2024-02-09,36.55213404,28.921216841266666,1,1.0
2024-02-14,32.80809727,28.995985773633333,1,1.0
2024-02-19,28.12680069,26.869868028966664,1,1.0
2024-02-21,35.06964573,26.7987631683,1,1.0
2024-02-28,32.6679798,25.5071546467,1,1.0
2024-03-01,30.80732989,25.535959492266667,1,1.0
2024-03-05,38.93494461,25.815340588266668,1,1.0
2024-03-08,46.63527628,26.183345159666665,1,1.0
2024-03-19,39.16303997,27.973690231366668,1,1.0
2024-03-21,44.22254104,27.6677540417,1,1.0
2024-03-28,47.45098316,28.475842009666668,1,1.0
2024-04-03,51.24851396,30.353741900666666,1,1.0
2024-04-09,33.39560426,31.043475950266664,1,1.0
2024-04-12,44.97139758,31.159560029266668,1,1.0
2024-04-23,48.55308115,31.745026666133338,1,1.0
2024-04-26,33.54413244,30.988671797133332,1,1.0
2024-05-02,33.84948334,31.13592008213333,1,1.0
2024-05-20,50.99205101,31.416519173799998,1,1.0
2024-05-28,46.889458,32.7503230948,1,1.0
2024-05-31,47.408636,34.454855220666666,1,1.0
2024-06-04,43.54668668,34.616361655999995,1,1.0
2024-06-06,39.48326711,34.99402781833333,1,1.0
2024-06-17,37.23224587,34.749756631,1,1.0
2024-06-19,45.05756983,34.516310901666664,1,1.0
2024-06-21,46.51668956,34.26553099233333,1,1.0
2024-06-25,40.74790886,34.60845506933333,1,1.0
2024-06-27,40.58938504,34.70218640106667,1,1.0
