DateTime,Open,High,Low,Close,Volume
01-01-2024 09:00,25.24625271,26.44483225,24.60236765,25.75668354,801
01-01-2024 09:05,25.75668354,27.23061977,25.57626707,26.64233756,391
01-01-2024 09:10,26.64233756,27.25023561,25.65785749,26.20257312,168
01-01-2024 09:15,26.20257312,27.09699351,26.18045413,26.36680139,411
01-01-2024 09:20,26.36680139,27.2113856,26.18353525,27.08212639,997
01-01-2024 09:25,27.08212639,27.09134545,26.39606973,26.43447428,310
01-01-2024 09:30,26.43447428,26.98778553,25.892657,25.95117739,679
01-01-2024 09:35,25.95117739,26.50263554,24.1693,24.46613722,854
01-01-2024 09:40,24.46613722,25.01508763,23.90207208,24.57146306,488
01-01-2024 09:45,24.57146306,26.28959851,24.43472884,26.28959851,334
01-01-2024 09:50,26.28959851,26.79159182,25.87822342,26.58874876,960
01-01-2024 09:55,26.58874876,28.0135917,26.58874876,27.8463454,566
01-01-2024 10:00,27.8463454,27.97680105,27.23546988,27.27254871,930
01-01-2024 10:05,27.27254871,29.50017996,27.14491529,28.98855394,990
01-01-2024 10:10,28.98855394,29.08569981,27.86831861,28.84947266,651
01-01-2024 10:15,28.84947266,29.99700964,28.8445992,29.479226,294
01-01-2024 10:20,29.479226,31.05001557,29.479226,30.57364757,112
01-01-2024 10:25,30.57364757,30.62888252,29.33819941,29.77809013,340
01-01-2024 10:30,29.77809013,30.29368702,29.2485971,29.38335846,812
01-01-2024 10:35,29.38335846,29.38335846,27.91559755,27.91559755,658
01-01-2024 10:40,27.91559755,28.92219851,27.81549943,28.64431706,467
01-01-2024 10:45,28.64431706,28.64431706,26.93771858,27.63174156,287
01-01-2024 10:50,27.63174156,27.7031957,26.71160214,27.05920594,364
01-01-2024 10:55,27.05920594,29.2524454,26.92170096,29.18670906,646
01-01-2024 11:00,29.18670906,29.18722033,28.35350119,28.61304443,942
01-01-2024 11:05,28.61304443,29.20693394,27.50080601,27.73596243,253
01-01-2024 11:10,27.73596243,28.1143874,27.29737553,27.35444229,422
01-01-2024 11:15,27.35444229,28.49117205,27.24654472,28.49117205,242
01-01-2024 11:20,28.49117205,28.85251088,27.33236949,28.0299719,167
01-01-2024 11:25,28.0299719,28.76671739,27.75873105,28.50092012,231
01-01-2024 11:30,28.50092012,29.40084779,28.50092012,29.20751958,426
01-01-2024 11:35,29.20751958,30.64747259,29.06062729,29.96074261,972
01-01-2024 11:40,29.96074261,31.53269724,29.81539338,31.44039312,708
01-01-2024 11:45,31.44039312,32.00360727,31.04668549,31.58428407,439
01-01-2024 11:50,31.58428407,31.77413297,30.9642237,31.06817329,281
01-01-2024 11:55,31.06817329,31.14657234,29.82561941,30.43725755,261
01-01-2024 12:00,30.43725755,30.50860189,29.45326361,29.61754102,643
01-01-2024 12:05,29.61754102,30.16726325,29.51313095,29.75455016,252
01-01-2024 12:10,29.75455016,30.05266147,28.45717448,28.69621263,604
01-01-2024 12:15,28.69621263,29.15218861,27.88321043,28.76143436,755
01-01-2024 12:20,28.76143436,28.79100078,27.31727867,27.61301443,766
01-01-2024 12:25,27.61301443,27.77767675,26.34350564,26.54309364,766
01-01-2024 12:30,26.54309364,27.40241054,26.54309364,27.15839007,641
01-01-2024 12:35,27.15839007,27.41304652,26.07468887,26.41845395,874
01-01-2024 12:40,26.41845395,27.21846493,26.28307342,26.53395516,952
01-01-2024 12:45,26.53395516,27.46090491,26.01049704,27.46090491,969
01-01-2024 12:50,27.46090491,27.87700445,27.16644928,27.49789462,806
01-01-2024 12:55,27.49789462,27.5941953,25.15897789,25.31789007,849
01-01-2024 13:00,25.31789007,26.18212589,24.9772972,25.57855597,363
01-01-2024 13:05,25.57855597,25.91842735,24.99062133,25.24179481,271
01-01-2024 13:10,25.24179481,25.55479611,23.22072152,23.2993068,605
01-01-2024 13:15,23.2993068,23.2993068,22.30890706,22.48737095,191
01-01-2024 13:20,22.48737095,23.02157159,21.79719135,21.92302826,894
01-01-2024 13:25,21.92302826,22.17812195,21.17200164,21.39719763,701
01-01-2024 13:30,21.39719763,21.39719763,20.10648998,20.41411107,766
01-01-2024 13:35,20.41411107,20.63056622,18.26612937,18.58526688,216
01-01-2024 13:40,18.58526688,18.92611268,18.09583644,18.71134343,594
01-01-2024 13:45,18.71134343,18.76081354,17.66424997,17.91847662,441
01-01-2024 13:50,17.91847662,18.8740813,17.91847662,18.33546586,623
01-01-2024 13:55,18.33546586,19.46056373,18.29546943,18.42444526,622
01-01-2024 14:00,18.42444526,18.42444526,17.4140099,17.90767522,936
01-01-2024 14:05,17.90767522,19.14718962,17.83060213,18.98489154,842
01-01-2024 14:10,18.98489154,19.44849313,17.58132381,17.58132381,788
01-01-2024 14:15,17.58132381,18.27286941,17.1029267,17.1029267,633
01-01-2024 14:20,17.1029267,18.62078505,17.1029267,17.78395896,753
01-01-2024 14:25,17.78395896,18.80941679,17.42954666,18.80941679,331
01-01-2024 14:30,18.80941679,19.21350684,18.48072183,18.74775216,970
01-01-2024 14:35,18.74775216,19.77798498,18.49721002,19.60227072,560
01-01-2024 14:40,19.60227072,19.93072882,19.12772524,19.31374021,331
01-01-2024 14:45,19.31374021,19.46554223,18.06070529,18.67705246,178
01-01-2024 14:50,18.67705246,19.22261816,18.31698759,18.94531201,710
01-01-2024 14:55,18.94531201,19.59333289,18.51724348,18.92207648,480
01-01-2024 15:00,18.92207648,19.12025191,17.94072071,18.49163961,399
01-01-2024 15:05,18.49163961,18.89205863,18.19063385,18.19063385,865
01-01-2024 15:10,18.19063385,18.2182507,16.64806156,17.00452698,340
01-01-2024 15:15,17.00452698,18.62386535,16.91088997,18.62386535,810
01-01-2024 15:20,18.62386535,18.62386535,16.7897759,17.6075061,971
01-01-2024 15:25,17.6075061,18.8898886,17.6075061,18.73095143,354
01-01-2024 15:30,18.73095143,18.7606772,18.15567574,18.17279384,896
01-02-2024 09:00,19.80356576,21.29801879,19.79291898,21.29801879,424
01-02-2024 09:05,21.29801879,21.98211044,20.73647156,21.88983048,443
01-02-2024 09:10,21.88983048,23.02941243,21.71475826,22.58886478,599
01-02-2024 09:15,22.58886478,24.02363996,22.38838201,23.23839315,181
